DATAFLOW,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00206(1.0),A,GDIVRT,LI,2007,2.8,
ESTAT:TPS00206(1.0),A,GDIVRT,LI,2008,2.8,
ESTAT:TPS00206(1.0),A,GDIVRT,LI,2009,2.7,
ESTAT:TPS00206(1.0),A,GDIVRT,LI,2010,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,LI,2011,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,LI,2012,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,LT,2006,3.4,
ESTAT:TPS00206(1.0),A,GDIVRT,LT,2007,3.5,
ESTAT:TPS00206(1.0),A,GDIVRT,LT,2008,3.2,
ESTAT:TPS00206(1.0),A,GDIVRT,LT,2009,2.9,
ESTAT:TPS00206(1.0),A,GDIVRT,LT,2010,3.2,
ESTAT:TPS00206(1.0),A,GDIVRT,LT,2011,3.4,
ESTAT:TPS00206(1.0),A,GDIVRT,LT,2012,3.5,
ESTAT:TPS00206(1.0),A,GDIVRT,LT,2013,3.4,
ESTAT:TPS00206(1.0),A,GDIVRT,LT,2014,3.3,
ESTAT:TPS00206(1.0),A,GDIVRT,LT,2015,3.2,
ESTAT:TPS00206(1.0),A,GDIVRT,LT,2016,3.1,
ESTAT:TPS00206(1.0),A,GDIVRT,LT,2017,3.0,
ESTAT:TPS00206(1.0),A,GDIVRT,LU,2006,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,LU,2007,2.3,
ESTAT:TPS00206(1.0),A,GDIVRT,LU,2008,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,LU,2009,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,LU,2010,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,LU,2011,2.3,
ESTAT:TPS00206(1.0),A,GDIVRT,LU,2012,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,LU,2013,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,LU,2014,2.6,
ESTAT:TPS00206(1.0),A,GDIVRT,LU,2015,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,LU,2016,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,LU,2017,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,LV,2006,3.3,
ESTAT:TPS00206(1.0),A,GDIVRT,LV,2007,3.4,
ESTAT:TPS00206(1.0),A,GDIVRT,LV,2008,2.9,
ESTAT:TPS00206(1.0),A,GDIVRT,LV,2009,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,LV,2010,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,LV,2011,4.0,
ESTAT:TPS00206(1.0),A,GDIVRT,LV,2012,3.6,
ESTAT:TPS00206(1.0),A,GDIVRT,LV,2013,3.5,
ESTAT:TPS00206(1.0),A,GDIVRT,LV,2014,3.1,
ESTAT:TPS00206(1.0),A,GDIVRT,LV,2015,2.6,
ESTAT:TPS00206(1.0),A,GDIVRT,LV,2016,3.1,
ESTAT:TPS00206(1.0),A,GDIVRT,LV,2017,3.1,
ESTAT:TPS00206(1.0),A,GDIVRT,MD,2006,3.5,
ESTAT:TPS00206(1.0),A,GDIVRT,MD,2007,3.9,
ESTAT:TPS00206(1.0),A,GDIVRT,MD,2008,3.5,
ESTAT:TPS00206(1.0),A,GDIVRT,MD,2009,3.3,
ESTAT:TPS00206(1.0),A,GDIVRT,MD,2010,3.2,
ESTAT:TPS00206(1.0),A,GDIVRT,MD,2011,3.1,
ESTAT:TPS00206(1.0),A,GDIVRT,MD,2012,3.0,
ESTAT:TPS00206(1.0),A,GDIVRT,ME,2006,0.8,
ESTAT:TPS00206(1.0),A,GDIVRT,ME,2007,0.7,
ESTAT:TPS00206(1.0),A,GDIVRT,ME,2008,0.7,
ESTAT:TPS00206(1.0),A,GDIVRT,ME,2009,0.7,
ESTAT:TPS00206(1.0),A,GDIVRT,ME,2010,0.8,
ESTAT:TPS00206(1.0),A,GDIVRT,ME,2011,0.8,
ESTAT:TPS00206(1.0),A,GDIVRT,ME,2012,0.8,
ESTAT:TPS00206(1.0),A,GDIVRT,ME,2013,0.8,
ESTAT:TPS00206(1.0),A,GDIVRT,ME,2014,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,ME,2015,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,ME,2016,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,ME,2017,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,MK,2006,0.7,
ESTAT:TPS00206(1.0),A,GDIVRT,MK,2007,0.7,
ESTAT:TPS00206(1.0),A,GDIVRT,MK,2008,0.6,
ESTAT:TPS00206(1.0),A,GDIVRT,MK,2009,0.6,
ESTAT:TPS00206(1.0),A,GDIVRT,MK,2010,0.8,
ESTAT:TPS00206(1.0),A,GDIVRT,MK,2011,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,MK,2012,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,MK,2013,1.0,
ESTAT:TPS00206(1.0),A,GDIVRT,MK,2014,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,MK,2015,1.0,
ESTAT:TPS00206(1.0),A,GDIVRT,MK,2016,1.0,
ESTAT:TPS00206(1.0),A,GDIVRT,MK,2017,1.0,
ESTAT:TPS00206(1.0),A,GDIVRT,MT,2011,0.1,
ESTAT:TPS00206(1.0),A,GDIVRT,MT,2012,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,MT,2013,0.8,
ESTAT:TPS00206(1.0),A,GDIVRT,MT,2014,0.7,
ESTAT:TPS00206(1.0),A,GDIVRT,MT,2015,0.8,
ESTAT:TPS00206(1.0),A,GDIVRT,MT,2016,0.8,
ESTAT:TPS00206(1.0),A,GDIVRT,MT,2017,0.7,
ESTAT:TPS00206(1.0),A,GDIVRT,NL,2006,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,NL,2007,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,NL,2008,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,NL,2009,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,NL,2010,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,NL,2011,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,NL,2012,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,NL,2013,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,NL,2014,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,NL,2015,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,NL,2016,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,NL,2017,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,NO,2006,2.3,
ESTAT:TPS00206(1.0),A,GDIVRT,NO,2007,2.2,
ESTAT:TPS00206(1.0),A,GDIVRT,NO,2008,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,NO,2009,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,NO,2010,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,NO,2011,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,NO,2012,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,NO,2013,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,NO,2014,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,NO,2015,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,NO,2016,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,NO,2017,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,PL,2006,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,PL,2007,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,PL,2008,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,PL,2009,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,PL,2010,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,PL,2011,1.7,b
ESTAT:TPS00206(1.0),A,GDIVRT,PL,2012,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,PL,2013,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,PL,2014,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,PL,2015,1.8,
ESTAT:TPS00206(1.0),A,GDIVRT,PL,2016,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,PL,2017,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,PT,2006,2.3,
ESTAT:TPS00206(1.0),A,GDIVRT,PT,2007,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,PT,2008,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,PT,2009,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,PT,2010,2.6,
ESTAT:TPS00206(1.0),A,GDIVRT,PT,2011,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,PT,2012,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,PT,2013,2.2,
ESTAT:TPS00206(1.0),A,GDIVRT,PT,2014,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,PT,2015,2.3,
ESTAT:TPS00206(1.0),A,GDIVRT,PT,2016,2.2,
ESTAT:TPS00206(1.0),A,GDIVRT,PT,2017,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,RO,2006,1.5,
ESTAT:TPS00206(1.0),A,GDIVRT,RO,2007,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,RO,2008,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,RO,2009,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,RO,2010,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,RO,2011,1.8,
ESTAT:TPS00206(1.0),A,GDIVRT,RO,2012,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,RO,2013,1.4,
ESTAT:TPS00206(1.0),A,GDIVRT,RO,2014,1.4,
ESTAT:TPS00206(1.0),A,GDIVRT,RO,2015,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,RO,2016,1.5,
ESTAT:TPS00206(1.0),A,GDIVRT,RO,2017,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,RS,2006,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,RS,2007,1.2,
